type,title,tmdb_id,tmdb_title,tmdb_year,exact,sources,lists,first_watched,last_watched
show,American Murder: Laci Peterson,261034,American Murder: Laci Peterson,2024,yes,netflix,watched,2024-11-21,2024-11-21
show,The Office (U.S.),2316,The Office,2005,yes,netflix;prime,watched,2024-03-15,2024-11-20
movie,My Old Ass,947891,My Old Ass,2024,yes,prime,watched,2024-11-16,2024-11-16
movie,Martha,1330409,Martha,2024,yes,netflix,watched,2024-11-15,2024-11-15
movie,The Boss Baby,295693,The Boss Baby,2017,yes,prime,watched,2024-11-08,2024-11-08
movie,It's All Over: The Kiss That Changed...,1365578,It's All Over: The Kiss That Changed Spanish Football,2024,no,netflix,watched,2024-11-01,2024-11-01
show,SPRINT,37072,Sprint!,2005,yes,netflix,watched,2024-11-01,2024-11-01
show,Monsters: The Lyle and Erik Menendez Story,225634,Monsters: The Lyle and Erik Menendez Story,2024,yes,netflix,watched,2024-10-27,2024-10-27
show,Sex and the City,105,Sex and the City,1998,yes,netflix,watched,2024-10-27,2024-10-27
movie,His Three Daughters,1154762,His Three Daughters,2024,yes,netflix,watched,2024-10-26,2024-10-26
show,Worst Ex Ever,259259,Worst Ex Ever,2024,yes,netflix,watched,2024-10-24,2024-10-24
show,Dirty Pop: The Boy Band Scam,257209,Dirty Pop: The Boy Band Scam,2024,yes,netflix,watched,2024-10-21,2024-10-21
movie,1917,530915,1917,2019,yes,prime,watched,2024-10-19,2024-10-19
movie,1944,321303,1944,2015,yes,prime,watched,2024-10-19,2024-10-19
show,The Resident,74016,The Resident,2018,yes,netflix,watched,2024-10-19,2024-10-19
show,Culinary Class Wars,245684,Culinary Class Wars,2024,yes,netflix,watched,2024-10-18,2024-10-18
movie,The Menendez Brothers,1360610,The Menendez Brothers,2024,yes,netflix,watched,2024-10-18,2024-10-18
movie,Crisis,580532,Crisis,2021,yes,netflix,watched,2024-10-16,2024-10-16
show,KAOS,102621,KAOS,2024,yes,netflix,watched,2024-10-16,2024-10-16
show,The Gentlemen,236235,The Gentlemen,2024,yes,netflix,watched,2024-10-16,2024-10-16
movie,Will & Harper,1214506,Will & Harper,2024,yes,netflix,watched,2024-10-16,2024-10-16
movie,Generation Wealth,493014,Generation Wealth,2018,yes,prime,watched,2024-10-15,2024-10-15
show,Heartstopper,124834,Heartstopper,2022,yes,netflix,watched,2024-10-15,2024-10-15
show,The Perfect Couple,220564,The Perfect Couple,2024,yes,netflix,watched,2024-10-15,2024-10-15
show,Babies,278283,Babies,2026,yes,netflix,watched,2024-10-02,2024-10-02
show,The Man with 1000 Kids,257207,The Man with 1000 Kids,2024,yes,netflix,watched,2024-10-02,2024-10-02
show,Nobody Wants This,250923,Nobody Wants This,2024,yes,netflix,watched,2024-10-01,2024-10-01
movie,Amy (La chica detrás del nombre),331781,Amy,2015,no,prime,watched,2024-09-28,2024-09-28
show,DEPP V HEARD,227381,Depp V Heard,2023,yes,netflix,watched,2024-07-10,2024-07-10
show,One Day,240667,One Day,2024,yes,netflix,watched,2024-07-10,2024-07-10
show,Dancing for the Devil: The 7M TikTok Cult,253384,Dancing for the Devil: The 7M TikTok Cult,2024,yes,netflix,watched,2024-06-29,2024-06-29
show,The Final Table,84216,The Final Table,2018,yes,netflix,watched,2024-05-26,2024-05-26
movie,Illusions for Sale: The Rise and Fall...,1279717,Illusions for Sale: The Rise and Fall of Generation Zoe,2024,no,netflix,watched,2024-05-25,2024-05-25
movie,The Holdovers,840430,The Holdovers,2023,yes,prime,watched,2024-05-25,2024-05-25
show,3 Body Problem,108545,3 Body Problem,2024,yes,netflix,watched,2024-05-24,2024-05-24
show,Death on the Canaries,238581,Una vida menos en Canarias,2024,no,netflix,watched,2024-05-24,2024-05-24
show,Bodkin,241257,Bodkin,2024,yes,netflix,watched,2024-05-20,2024-05-20
show,"Ashley Madison: Sex, Lies & Scandal",253249,"Ashley Madison: Sex, Lies & Scandal",2024,yes,netflix,watched,2024-05-19,2024-05-19
movie,Hack Your Health: The Secrets of Your Gut,1266701,Hack Your Health: The Secrets of Your Gut,2024,yes,netflix,watched,2024-05-19,2024-05-19
movie,The Roast of Tom Brady,1278360,The Roast of Tom Brady,2024,yes,netflix,watched,2024-05-12,2024-05-12
movie,A Good Person,800787,A Good Person,2023,yes,prime,watched,2024-05-09,2024-05-09
movie,The Idea of You,843527,The Idea of You,2024,yes,prime,watched,2024-05-08,2024-05-08
show,Wellmania,195841,Wellmania,2023,yes,netflix,watched,2024-05-03,2024-05-03
show,Baby Reindeer,241259,Baby Reindeer,2024,yes,netflix,watched,2024-05-01,2024-05-01
show,The Circle,97083,The Circle,2020,yes,netflix,watched,2024-04-25,2024-04-25
movie,The Tearsmith,1127166,The Tearsmith,2024,yes,netflix,watched,2024-04-25,2024-04-25
show,Unlocked: A Jail Experiment,248984,Unlocked: A Jail Experiment,2024,yes,netflix,watched,2024-04-25,2024-04-25
show,Inventing Anna,95665,Inventing Anna,2022,yes,netflix,watched,2024-04-23,2024-04-23
show,Griselda,137893,Griselda,2024,yes,netflix,watched,2024-04-21,2024-04-21
show,Physical: 100,210905,Physical: 100,2023,yes,netflix,watched,2024-04-21,2024-04-21
show,How to Become a Cult Leader,230043,How to Become a Cult Leader,2023,yes,netflix,watched,2024-04-14,2024-04-14
show,Girls5eva,100350,Girls5eva,2021,yes,netflix,watched,2024-04-10,2024-04-10
