type,title,tmdb_id,tmdb_title,tmdb_year,exact,sources,lists,first_watched,last_watched
show,The Last of Us,100088,The Last of Us,2023,yes,max,my_list,,
movie,The Lobster,254320,The Lobster,2015,yes,max,my_list,,
movie,The Lord of the Rings: The Fellowship of the Ring,120,The Lord of the Rings: The Fellowship of the Ring,2001,yes,max,my_list,,
movie,The Lord of the Rings: The Return of the King,122,The Lord of the Rings: The Return of the King,2003,yes,max,my_list,,
movie,The Lord of the Rings: The Two Towers,121,The Lord of the Rings: The Two Towers,2002,yes,max,my_list,,
movie,The Mask,854,The Mask,1994,yes,max,my_list,,
movie,The Matrix,603,The Matrix,1999,yes,max,my_list,,
movie,The Matrix Reloaded,604,The Matrix Reloaded,2003,yes,max,my_list,,
movie,The Matrix Revolutions,605,The Matrix Revolutions,2003,yes,max,my_list,,
movie,The Matrix: Resurrections,624860,The Matrix Resurrections,2021,yes,max,my_list,,
show,The Mentalist,5920,The Mentalist,2008,yes,max,my_list,,
show,The Night Of,66276,The Night Of,2016,yes,max,my_list,,
movie,The Notebook,11036,The Notebook,2004,yes,max,my_list,,
show,The Pitt,250307,The Pitt,2025,yes,max,continue_watching,,
movie,The Secret in Their Eyes,25376,The Secret in Their Eyes,2009,yes,max,my_list,,
show,The Sex Lives of College Girls,134373,The Sex Lives of College Girls,2021,yes,max,my_list,,
show,The Staircase,122196,The Staircase,2022,yes,max,my_list,,
movie,The Talented Mr. Ripley,1213,The Talented Mr. Ripley,1999,yes,max,my_list,,
movie,The Taste of Things,964960,The Taste of Things,2023,yes,max,my_list,,
movie,The Terminal,594,The Terminal,2004,yes,max,my_list,,
show,The Undoing,83851,The Undoing,2020,yes,max,my_list,,
show,The White Lotus,111803,The White Lotus,2021,yes,max,my_list,,
movie,The Wizard of Oz,630,The Wizard of Oz,1939,yes,max,my_list,,
show,Tokyo Vice,90296,Tokyo Vice,2022,yes,max,my_list,,
movie,Triangle of Sadness,497828,Triangle of Sadness,2022,yes,max,my_list,,
movie,Troop Zero,525946,Troop Zero,2019,yes,prime,watchlist,,
show,True Detective,46648,True Detective,2014,yes,max,my_list,,
show,White House Plumbers,96237,White House Plumbers,2023,yes,max,my_list,,
movie,Zoolander,9398,Zoolander,2001,yes,max,my_list,,
